Name,n,m,LB,UB,Optimal
ta001,20,5,1278,1278,1
ta002,20,5,1359,1359,1
ta003,20,5,1081,1081,1
ta004,20,5,1293,1293,1
ta005,20,5,1235,1235,1
ta006,20,5,1195,1195,1
ta007,20,5,1234,1234,1
ta008,20,5,1206,1206,1
ta009,20,5,1230,1230,1
ta010,20,5,1108,1108,1
ta011,20,10,1582,1582,1
ta012,20,10,1659,1659,1
ta013,20,10,1496,1496,1
ta014,20,10,1377,1377,1
ta015,20,10,1419,1419,1
ta016,20,10,1397,1397,1
ta017,20,10,1484,1484,1
ta018,20,10,1538,1538,1
ta019,20,10,1593,1593,1
ta020,20,10,1591,1591,1
ta021,20,20,2297,2297,1
ta022,20,20,2099,2099,1
ta023,20,20,2326,2326,1
ta024,20,20,2223,2223,1
ta025,20,20,2291,2291,1
ta026,20,20,2226,2226,1
ta027,20,20,2273,2273,1
ta028,20,20,2200,2200,1
ta029,20,20,2237,2237,1
ta030,20,20,2178,2178,1
ta031,50,5,2724,2724,1
ta032,50,5,2834,2834,1
ta033,50,5,2621,2621,1
ta034,50,5,2751,2751,1
ta035,50,5,2863,2863,1
ta036,50,5,2829,2829,1
ta037,50,5,2725,2725,1
ta038,50,5,2683,2683,1
ta039,50,5,2552,2552,1
ta040,50,5,2782,2782,1
ta041,50,10,2991,2991,1
ta042,50,10,2867,2867,1
ta043,50,10,2839,2839,1
ta044,50,10,3063,3063,1
ta045,50,10,2976,2976,1
ta046,50,10,3006,3006,1
ta047,50,10,3093,3093,1
ta048,50,10,3037,3037,1
ta049,50,10,2897,2897,1
ta050,50,10,3065,3065,1
ta051,50,20,3771,3846,0
ta052,50,20,3699,3699,1
ta053,50,20,3640,3640,1
ta054,50,20,3635,3719,0
ta055,50,20,3553,3610,0
ta056,50,20,3667,3681,0
ta057,50,20,3704,3704,1
ta058,50,20,3691,3691,1
ta059,50,20,3645,3741,0
ta060,50,20,3696,3755,0
ta061,100,5,5493,5493,1
ta062,100,5,5268,5268,1
ta063,100,5,5175,5175,1
ta064,100,5,5014,5014,1
ta065,100,5,5250,5250,1
ta066,100,5,5135,5135,1
ta067,100,5,5246,5246,1
ta068,100,5,5094,5094,1
ta069,100,5,5448,5448,1
ta070,100,5,5322,5322,1
ta071,100,10,5770,5770,1
ta072,100,10,5349,5349,1
ta073,100,10,5676,5676,1
ta074,100,10,5781,5781,1
ta075,100,10,5467,5467,1
ta076,100,10,5303,5303,1
ta077,100,10,5595,5595,1
ta078,100,10,5617,5617,1
ta079,100,10,5871,5871,1
ta080,100,10,5845,5845,1
ta081,100,20,6135,6173,0
ta082,100,20,6183,6183,1
ta083,100,20,6252,6252,1
ta084,100,20,6254,6254,1
ta085,100,20,6270,6286,0
ta086,100,20,6310,6331,0
ta087,100,20,6210,6224,0
ta088,100,20,6327,6372,0
ta089,100,20,6224,6275,0
ta090,100,20,6404,6404,1
ta091,200,10,10862,10862,1
ta092,200,10,10480,10480,1
ta093,200,10,10922,10922,1
ta094,200,10,10889,10889,1
ta095,200,10,10524,10524,1
ta096,200,10,10329,10329,1
ta097,200,10,10854,10854,1
ta098,200,10,10730,10730,1
ta099,200,10,10438,10438,1
ta100,200,10,10675,10675,1
ta101,200,20,11158,11158,1
ta102,200,20,11154,11160,0
ta103,200,20,11281,11281,1
ta104,200,20,11275,11275,1
ta105,200,20,11259,11259,1
ta106,200,20,11176,11176,1
ta107,200,20,11337,11337,1
ta108,200,20,11301,11301,1
ta109,200,20,11146,11146,1
ta110,200,20,11284,11288,0
ta111,500,20,26040,26059,0
ta112,500,20,26500,26520,0
ta113,500,20,26371,26371,1
ta114,500,20,26456,26456,1
ta115,500,20,26334,26334,1
ta116,500,20,26469,26477,0
ta117,500,20,26389,26389,1
ta118,500,20,26560,26560,1
ta119,500,20,26005,26005,1
ta120,500,20,26457,26457,1
