instancia,n_trabajos,n_maquinas,metodo,semilla,cmax,mejor_conocido,rpd,tiempo_segundos
ta001,20,5,AG,1,1319,1278,3.2081,0.364
ta001,20,5,AG,2,1305,1278,2.1127,0.361
ta001,20,5,AG,3,1297,1278,1.4867,0.357
ta001,20,5,AG,4,1320,1278,3.2864,0.367
ta001,20,5,AG,5,1312,1278,2.6604,0.376
ta001,20,5,AG,6,1305,1278,2.1127,0.372
ta001,20,5,AG,7,1297,1278,1.4867,0.356
ta001,20,5,AG,8,1313,1278,2.7387,0.410
ta001,20,5,AG,9,1324,1278,3.5994,0.368
ta001,20,5,AG,10,1317,1278,3.0516,0.374
ta001,20,5,AG,11,1321,1278,3.3646,0.378
ta001,20,5,AG,12,1297,1278,1.4867,0.371
ta001,20,5,AG,13,1322,1278,3.4429,0.375
ta001,20,5,AG,14,1307,1278,2.2692,0.376
ta001,20,5,AG,15,1310,1278,2.5039,0.391
ta001,20,5,AG,16,1298,1278,1.5649,0.358
ta001,20,5,AG,17,1297,1278,1.4867,0.350
ta001,20,5,AG,18,1304,1278,2.0344,0.380
ta001,20,5,AG,19,1306,1278,2.1909,0.378
ta001,20,5,AG,20,1297,1278,1.4867,0.374
ta001,20,5,AG,21,1333,1278,4.3036,0.374
ta001,20,5,AG,22,1319,1278,3.2081,0.368
ta001,20,5,AG,23,1301,1278,1.7997,0.366
ta001,20,5,AG,24,1305,1278,2.1127,0.373
ta001,20,5,AG,25,1305,1278,2.1127,0.359
ta001,20,5,AG,26,1324,1278,3.5994,0.357
ta001,20,5,AG,27,1324,1278,3.5994,0.357
ta001,20,5,AG,28,1306,1278,2.1909,0.361
ta001,20,5,AG,29,1316,1278,2.9734,0.356
ta001,20,5,AG,30,1295,1278,1.3302,0.350
ta001,20,5,Memetico,1,1297,1278,1.4867,0.395
ta001,20,5,Memetico,2,1302,1278,1.8779,0.428
ta001,20,5,Memetico,3,1297,1278,1.4867,0.386
ta001,20,5,Memetico,4,1278,1278,0.0000,0.441
ta001,20,5,Memetico,5,1297,1278,1.4867,0.456
ta001,20,5,Memetico,6,1297,1278,1.4867,0.419
ta001,20,5,Memetico,7,1297,1278,1.4867,0.599
ta001,20,5,Memetico,8,1297,1278,1.4867,0.459
ta001,20,5,Memetico,9,1297,1278,1.4867,0.494
ta001,20,5,Memetico,10,1297,1278,1.4867,0.429
ta001,20,5,Memetico,11,1297,1278,1.4867,0.413
ta001,20,5,Memetico,12,1297,1278,1.4867,0.424
ta001,20,5,Memetico,13,1280,1278,0.1565,0.446
ta001,20,5,Memetico,14,1307,1278,2.2692,0.434
ta001,20,5,Memetico,15,1286,1278,0.6260,0.508
ta001,20,5,Memetico,16,1297,1278,1.4867,0.503
ta001,20,5,Memetico,17,1297,1278,1.4867,0.492
ta001,20,5,Memetico,18,1297,1278,1.4867,0.449
ta001,20,5,Memetico,19,1297,1278,1.4867,0.421
ta001,20,5,Memetico,20,1297,1278,1.4867,0.416
ta001,20,5,Memetico,21,1304,1278,2.0344,0.442
ta001,20,5,Memetico,22,1297,1278,1.4867,0.461
ta001,20,5,Memetico,23,1297,1278,1.4867,0.400
ta001,20,5,Memetico,24,1324,1278,3.5994,0.389
ta001,20,5,Memetico,25,1302,1278,1.8779,0.410
