instancia,n_trabajos,n_maquinas,metodo,semilla,cmax,mejor_conocido,rpd,tiempo_segundos
ta001,20,5,AG,1,1286,1278,0.6260,0.365
ta001,20,5,AG,2,1286,1278,0.6260,0.371
ta001,20,5,AG,3,1286,1278,0.6260,0.363
ta001,20,5,AG,4,1286,1278,0.6260,0.360
ta001,20,5,AG,5,1286,1278,0.6260,0.466
ta001,20,5,AG,6,1286,1278,0.6260,0.414
ta001,20,5,AG,7,1286,1278,0.6260,0.416
ta001,20,5,AG,8,1286,1278,0.6260,0.554
ta001,20,5,AG,9,1286,1278,0.6260,0.515
ta001,20,5,AG,10,1286,1278,0.6260,0.407
ta001,20,5,AG,11,1286,1278,0.6260,0.471
ta001,20,5,AG,12,1286,1278,0.6260,0.401
ta001,20,5,AG,13,1286,1278,0.6260,0.374
ta001,20,5,AG,14,1286,1278,0.6260,0.346
ta001,20,5,AG,15,1286,1278,0.6260,0.378
ta001,20,5,AG,16,1286,1278,0.6260,0.425
ta001,20,5,AG,17,1286,1278,0.6260,0.388
ta001,20,5,AG,18,1286,1278,0.6260,0.380
ta001,20,5,AG,19,1286,1278,0.6260,0.403
ta001,20,5,AG,20,1286,1278,0.6260,0.407
ta001,20,5,AG,21,1286,1278,0.6260,0.406
ta001,20,5,AG,22,1286,1278,0.6260,0.419
ta001,20,5,AG,23,1286,1278,0.6260,0.387
ta001,20,5,AG,24,1286,1278,0.6260,0.386
ta001,20,5,AG,25,1286,1278,0.6260,0.413
ta001,20,5,AG,26,1286,1278,0.6260,0.383
ta001,20,5,AG,27,1286,1278,0.6260,0.396
ta001,20,5,AG,28,1286,1278,0.6260,0.374
ta001,20,5,AG,29,1286,1278,0.6260,0.426
ta001,20,5,AG,30,1286,1278,0.6260,0.417
ta001,20,5,Memetico,1,1286,1278,0.6260,0.867
ta001,20,5,Memetico,2,1278,1278,0.0000,1.174
ta001,20,5,Memetico,3,1286,1278,0.6260,0.890
ta001,20,5,Memetico,4,1286,1278,0.6260,0.950
ta001,20,5,Memetico,5,1286,1278,0.6260,0.975
ta001,20,5,Memetico,6,1286,1278,0.6260,0.813
ta001,20,5,Memetico,7,1279,1278,0.0782,0.898
ta001,20,5,Memetico,8,1278,1278,0.0000,0.887
ta001,20,5,Memetico,9,1286,1278,0.6260,0.835
ta001,20,5,Memetico,10,1286,1278,0.6260,0.805
ta001,20,5,Memetico,11,1286,1278,0.6260,0.813
ta001,20,5,Memetico,12,1286,1278,0.6260,0.787
ta001,20,5,Memetico,13,1286,1278,0.6260,0.823
ta001,20,5,Memetico,14,1286,1278,0.6260,0.804
ta001,20,5,Memetico,15,1282,1278,0.3130,0.817
ta001,20,5,Memetico,16,1286,1278,0.6260,0.780
ta001,20,5,Memetico,17,1286,1278,0.6260,0.864
ta001,20,5,Memetico,18,1286,1278,0.6260,0.841
ta001,20,5,Memetico,19,1282,1278,0.3130,0.853
ta001,20,5,Memetico,20,1286,1278,0.6260,0.992
ta001,20,5,Memetico,21,1286,1278,0.6260,0.761
ta001,20,5,Memetico,22,1286,1278,0.6260,0.791
ta001,20,5,Memetico,23,1286,1278,0.6260,0.793
ta001,20,5,Memetico,24,1286,1278,0.6260,0.784
ta001,20,5,Memetico,25,1286,1278,0.6260,0.745
ta001,20,5,Memetico,26,1286,1278,0.6260,0.790
ta001,20,5,Memetico,27,1286,1278,0.6260,0.801
ta001,20,5,Memetico,28,1286,1278,0.6260,0.827
ta001,20,5,Memetico,29,1286,1278,0.6260,0.800
ta001,20,5,Memetico,30,1286,1278,0.6260,0.863
ta041,50,10,AG,1,3135,2991,4.8144,1.983
ta041,50,10,AG,2,3135,2991,4.8144,1.963
ta041,50,10,AG,3,3135,2991,4.8144,1.839
ta041,50,10,AG,4,3135,2991,4.8144,1.738
ta041,50,10,AG,5,3135,2991,4.8144,1.715
ta041,50,10,AG,6,3135,2991,4.8144,1.694
ta041,50,10,AG,7,3135,2991,4.8144,1.677
ta041,50,10,AG,8,3135,2991,4.8144,1.660
ta041,50,10,AG,9,3135,2991,4.8144,1.683
ta041,50,10,AG,10,3135,2991,4.8144,1.664
ta041,50,10,AG,11,3121,2991,4.3464,1.955
ta041,50,10,AG,12,3135,2991,4.8144,2.064
ta041,50,10,AG,13,3135,2991,4.8144,2.542
ta041,50,10,AG,14,3134,2991,4.7810,2.521
ta041,50,10,AG,15,3135,2991,4.8144,2.432
ta041,50,10,AG,16,3127,2991,4.5470,2.682
ta041,50,10,AG,17,3135,2991,4.8144,2.308
ta041,50,10,AG,18,3132,2991,4.7141,2.147
ta041,50,10,AG,19,3135,2991,4.8144,2.342
ta041,50,10,AG,20,3135,2991,4.8144,2.516
ta041,50,10,AG,21,3135,2991,4.8144,2.998
ta041,50,10,AG,22,3135,2991,4.8144,2.728
ta041,50,10,AG,23,3135,2991,4.8144,2.813
ta041,50,10,AG,24,3135,2991,4.8144,2.604
ta041,50,10,AG,25,3135,2991,4.8144,2.747
ta041,50,10,AG,26,3135,2991,4.8144,2.475
ta041,50,10,AG,27,3135,2991,4.8144,2.422
ta041,50,10,AG,28,3135,2991,4.8144,2.447
ta041,50,10,AG,29,3135,2991,4.8144,2.272
ta041,50,10,AG,30,3132,2991,4.7141,2.387
ta041,50,10,Memetico,1,3103,2991,3.7446,16.921
ta041,50,10,Memetico,2,3105,2991,3.8114,13.409
ta041,50,10,Memetico,3,3105,2991,3.8114,10.424
ta041,50,10,Memetico,4,3105,2991,3.8114,22.900
ta041,50,10,Memetico,5,3105,2991,3.8114,14.355
ta041,50,10,Memetico,6,3076,2991,2.8419,27.366
ta041,50,10,Memetico,7,3087,2991,3.2096,20.862
ta041,50,10,Memetico,8,3105,2991,3.8114,12.207
ta041,50,10,Memetico,9,3105,2991,3.8114,36.135
ta041,50,10,Memetico,10,3105,2991,3.8114,19.635
ta041,50,10,Memetico,11,3074,2991,2.7750,18.425
ta041,50,10,Memetico,12,3086,2991,3.1762,27.869
ta041,50,10,Memetico,13,3105,2991,3.8114,15.049
ta041,50,10,Memetico,14,3105,2991,3.8114,8.672
ta041,50,10,Memetico,15,3105,2991,3.8114,21.549
ta041,50,10,Memetico,16,3103,2991,3.7446,15.426
ta041,50,10,Memetico,17,3074,2991,2.7750,20.152
ta041,50,10,Memetico,18,3065,2991,2.4741,18.642
ta041,50,10,Memetico,19,3105,2991,3.8114,17.256
ta041,50,10,Memetico,20,3105,2991,3.8114,10.976
ta041,50,10,Memetico,21,3105,2991,3.8114,16.785
