instancia,n_trabajos,n_maquinas,metodo,semilla,cmax,mejor_conocido,rpd,tiempo_segundos
ta090,100,20,AG,1,6677,6404,4.2630,8.656
ta090,100,20,AG,2,6677,6404,4.2630,8.822
ta090,100,20,AG,3,6677,6404,4.2630,8.713
ta090,100,20,AG,4,6677,6404,4.2630,8.619
ta090,100,20,AG,5,6677,6404,4.2630,8.804
ta090,100,20,AG,6,6644,6404,3.7477,8.780
ta090,100,20,AG,7,6677,6404,4.2630,8.587
ta090,100,20,AG,8,6677,6404,4.2630,8.940
ta090,100,20,AG,9,6677,6404,4.2630,8.699
ta090,100,20,AG,10,6677,6404,4.2630,8.310
ta090,100,20,AG,11,6677,6404,4.2630,8.314
ta090,100,20,AG,12,6677,6404,4.2630,8.978
ta090,100,20,AG,13,6677,6404,4.2630,8.329
ta090,100,20,AG,14,6677,6404,4.2630,8.399
ta090,100,20,AG,15,6677,6404,4.2630,8.656
ta090,100,20,AG,16,6677,6404,4.2630,8.498
ta090,100,20,AG,17,6677,6404,4.2630,8.814
ta090,100,20,AG,18,6677,6404,4.2630,8.239
ta090,100,20,AG,19,6677,6404,4.2630,8.525
ta090,100,20,AG,20,6677,6404,4.2630,8.617
ta090,100,20,AG,21,6677,6404,4.2630,8.608
ta090,100,20,AG,22,6677,6404,4.2630,8.801
ta090,100,20,AG,23,6677,6404,4.2630,8.602
ta090,100,20,AG,24,6677,6404,4.2630,9.015
ta090,100,20,AG,25,6677,6404,4.2630,8.832
ta090,100,20,AG,26,6677,6404,4.2630,8.893
ta090,100,20,AG,27,6677,6404,4.2630,8.535
ta090,100,20,AG,28,6668,6404,4.1224,8.537
ta090,100,20,AG,29,6677,6404,4.2630,8.272
ta090,100,20,AG,30,6677,6404,4.2630,8.953
ta090,100,20,Memetico,1,6646,6404,3.7789,82.138
ta090,100,20,Memetico,2,6646,6404,3.7789,83.511
ta090,100,20,Memetico,3,6646,6404,3.7789,343.236
ta090,100,20,Memetico,4,6646,6404,3.7789,181.172
ta090,100,20,Memetico,5,6628,6404,3.4978,124.144
ta090,100,20,Memetico,6,6641,6404,3.7008,57.919
ta090,100,20,Memetico,7,6583,6404,2.7951,248.868
ta090,100,20,Memetico,8,6646,6404,3.7789,130.186
ta090,100,20,Memetico,9,6646,6404,3.7789,260.792
ta090,100,20,Memetico,10,6646,6404,3.7789,75.245
ta090,100,20,Memetico,11,6646,6404,3.7789,175.667
ta090,100,20,Memetico,12,6618,6404,3.3417,200.924
ta090,100,20,Memetico,13,6646,6404,3.7789,88.367
ta090,100,20,Memetico,14,6646,6404,3.7789,88.174
ta090,100,20,Memetico,15,6646,6404,3.7789,88.116
ta090,100,20,Memetico,16,6646,6404,3.7789,223.028
ta090,100,20,Memetico,17,6646,6404,3.7789,191.776
ta090,100,20,Memetico,18,6613,6404,3.2636,242.387
ta090,100,20,Memetico,19,6642,6404,3.7164,190.156
ta090,100,20,Memetico,20,6646,6404,3.7789,56.674
ta090,100,20,Memetico,21,6646,6404,3.7789,210.066
ta090,100,20,Memetico,22,6646,6404,3.7789,127.740
ta090,100,20,Memetico,23,6646,6404,3.7789,56.911
ta090,100,20,Memetico,24,6639,6404,3.6696,55.572
ta090,100,20,Memetico,25,6646,6404,3.7789,110.725
ta090,100,20,Memetico,26,6624,6404,3.4354,289.626
ta090,100,20,Memetico,27,6646,6404,3.7789,58.797
ta090,100,20,Memetico,28,6626,6404,3.4666,107.934
ta090,100,20,Memetico,29,6646,6404,3.7789,59.929
ta090,100,20,Memetico,30,6646,6404,3.7789,174.948
